Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,881909,1350,TATPOPT,TATAPOWER25JUN315PE,12-JUN-2025,OPTSTK,PE,315,0.05,
BFO,823440,1350,TATPOPT,TATAPOWER25JUN435CE,12-JUN-2025,OPTSTK,CE,435,0.05,
BFO,1138402,1350,TATPOPT,TATAPOWER25JUN430CE,12-JUN-2025,OPTSTK,CE,430,0.05,
BFO,1135633,1350,TATPOPT,TATAPOWER25JUN425CE,12-JUN-2025,OPTSTK,CE,425,0.05,
BFO,1100277,1350,TATPOPT,TATAPOWER25JUN420CE,12-JUN-2025,OPTSTK,CE,420,0.05,
BFO,889124,1350,TATPOPT,TATAPOWER25JUN415CE,12-JUN-2025,OPTSTK,CE,415,0.05,
BFO,889747,1350,TATPOPT,TATAPOWER25JUN410CE,12-JUN-2025,OPTSTK,CE,410,0.05,
BFO,888141,1350,TATPOPT,TATAPOWER25JUN405CE,12-JUN-2025,OPTSTK,CE,405,0.05,
BFO,887226,1350,TATPOPT,TATAPOWER25JUN400CE,12-JUN-2025,OPTSTK,CE,400,0.05,
BFO,887660,1350,TATPOPT,TATAPOWER25JUN395CE,12-JUN-2025,OPTSTK,CE,395,0.05,
BFO,887606,1350,TATPOPT,TATAPOWER25JUN390CE,12-JUN-2025,OPTSTK,CE,390,0.05,
BFO,884236,1350,TATPOPT,TATAPOWER25JUN385CE,12-JUN-2025,OPTSTK,CE,385,0.05,
BFO,884045,1350,TATPOPT,TATAPOWER25JUN380CE,12-JUN-2025,OPTSTK,CE,380,0.05,
BFO,878952,1350,TATPOPT,TATAPOWER25JUN375CE,12-JUN-2025,OPTSTK,CE,375,0.05,
BFO,878748,1350,TATPOPT,TATAPOWER25JUN370CE,12-JUN-2025,OPTSTK,CE,370,0.05,
BFO,880583,1350,TATPOPT,TATAPOWER25JUN365CE,12-JUN-2025,OPTSTK,CE,365,0.05,
BFO,880376,1350,TATPOPT,TATAPOWER25JUN360CE,12-JUN-2025,OPTSTK,CE,360,0.05,
BFO,882177,1350,TATPOPT,TATAPOWER25JUN355CE,12-JUN-2025,OPTSTK,CE,355,0.05,
BFO,881980,1350,TATPOPT,TATAPOWER25JUN350CE,12-JUN-2025,OPTSTK,CE,350,0.05,
BFO,883802,1350,TATPOPT,TATAPOWER25JUN345CE,12-JUN-2025,OPTSTK,CE,345,0.05,
BFO,883614,1350,TATPOPT,TATAPOWER25JUN340CE,12-JUN-2025,OPTSTK,CE,340,0.05,
BFO,885408,1350,TATPOPT,TATAPOWER25JUN335CE,12-JUN-2025,OPTSTK,CE,335,0.05,
BFO,885217,1350,TATPOPT,TATAPOWER25JUN330CE,12-JUN-2025,OPTSTK,CE,330,0.05,
BFO,880116,1350,TATPOPT,TATAPOWER25JUN325CE,12-JUN-2025,OPTSTK,CE,325,0.05,
BFO,879931,1350,TATPOPT,TATAPOWER25JUN320CE,12-JUN-2025,OPTSTK,CE,320,0.05,
BFO,881750,1350,TATPOPT,TATAPOWER25JUN315CE,12-JUN-2025,OPTSTK,CE,315,0.05,
BFO,823198,1450,TATPOPT,TATAPOWER25JUL435PE,10-JUL-2025,OPTSTK,PE,435,0.05,
BFO,1137908,1450,TATPOPT,TATAPOWER25JUL430PE,10-JUL-2025,OPTSTK,PE,430,0.05,
BFO,1134857,1450,TATPOPT,TATAPOWER25JUL425PE,10-JUL-2025,OPTSTK,PE,425,0.05,
BFO,1134570,1450,TATPOPT,TATAPOWER25JUL420PE,10-JUL-2025,OPTSTK,PE,420,0.05,
BFO,1125481,1450,TATPOPT,TATAPOWER25JUL415PE,10-JUL-2025,OPTSTK,PE,415,0.05,
BFO,1125407,1450,TATPOPT,TATAPOWER25JUL410PE,10-JUL-2025,OPTSTK,PE,410,0.05,
BFO,1123677,1450,TATPOPT,TATAPOWER25JUL405PE,10-JUL-2025,OPTSTK,PE,405,0.05,
BFO,1123455,1450,TATPOPT,TATAPOWER25JUL400PE,10-JUL-2025,OPTSTK,PE,400,0.05,
BFO,1115620,1450,TATPOPT,TATAPOWER25JUL395PE,10-JUL-2025,OPTSTK,PE,395,0.05,
BFO,1114850,1450,TATPOPT,TATAPOWER25JUL390PE,10-JUL-2025,OPTSTK,PE,390,0.05,
BFO,1120072,1450,TATPOPT,TATAPOWER25JUL385PE,10-JUL-2025,OPTSTK,PE,385,0.05,
BFO,1119709,1450,TATPOPT,TATAPOWER25JUL380PE,10-JUL-2025,OPTSTK,PE,380,0.05,
BFO,1108838,1450,TATPOPT,TATAPOWER25JUL375PE,10-JUL-2025,OPTSTK,PE,375,0.05,
BFO,1108650,1450,TATPOPT,TATAPOWER25JUL370PE,10-JUL-2025,OPTSTK,PE,370,0.05,
BFO,1110426,1450,TATPOPT,TATAPOWER25JUL365PE,10-JUL-2025,OPTSTK,PE,365,0.05,
BFO,1110242,1450,TATPOPT,TATAPOWER25JUL360PE,10-JUL-2025,OPTSTK,PE,360,0.05,
BFO,1114069,1450,TATPOPT,TATAPOWER25JUL355PE,10-JUL-2025,OPTSTK,PE,355,0.05,
BFO,1113681,1450,TATPOPT,TATAPOWER25JUL350PE,10-JUL-2025,OPTSTK,PE,350,0.05,
BFO,1119144,1450,TATPOPT,TATAPOWER25JUL345PE,10-JUL-2025,OPTSTK,PE,345,0.05,
BFO,1118955,1450,TATPOPT,TATAPOWER25JUL340PE,10-JUL-2025,OPTSTK,PE,340,0.05,
BFO,1108416,1450,TATPOPT,TATAPOWER25JUL335PE,10-JUL-2025,OPTSTK,PE,335,0.05,
BFO,1108227,1450,TATPOPT,TATAPOWER25JUL330PE,10-JUL-2025,OPTSTK,PE,330,0.05,
BFO,1109995,1450,TATPOPT,TATAPOWER25JUL325PE,10-JUL-2025,OPTSTK,PE,325,0.05,
BFO,823481,1450,TATPOPT,TATAPOWER25JUL435CE,10-JUL-2025,OPTSTK,CE,435,0.05,
BFO,1138485,1450,TATPOPT,TATAPOWER25JUL430CE,10-JUL-2025,OPTSTK,CE,430,0.05,
BFO,1128613,1450,TATPOPT,TATAPOWER25JUL425CE,10-JUL-2025,OPTSTK,CE,425,0.05,
BFO,1135762,1450,TATPOPT,TATAPOWER25JUL420CE,10-JUL-2025,OPTSTK,CE,420,0.05,
BFO,1124052,1450,TATPOPT,TATAPOWER25JUL415CE,10-JUL-2025,OPTSTK,CE,415,0.05,
BFO,1123998,1450,TATPOPT,TATAPOWER25JUL410CE,10-JUL-2025,OPTSTK,CE,410,0.05,
BFO,1124590,1450,TATPOPT,TATAPOWER25JUL405CE,10-JUL-2025,OPTSTK,CE,405,0.05,
BFO,1123029,1450,TATPOPT,TATAPOWER25JUL400CE,10-JUL-2025,OPTSTK,CE,400,0.05,
BFO,1114929,1450,TATPOPT,TATAPOWER25JUL395CE,10-JUL-2025,OPTSTK,CE,395,0.05,
BFO,1114289,1450,TATPOPT,TATAPOWER25JUL390CE,10-JUL-2025,OPTSTK,CE,390,0.05,
BFO,1119729,1450,TATPOPT,TATAPOWER25JUL385CE,10-JUL-2025,OPTSTK,CE,385,0.05,
BFO,1119289,1450,TATPOPT,TATAPOWER25JUL380CE,10-JUL-2025,OPTSTK,CE,380,0.05,
BFO,1108663,1450,TATPOPT,TATAPOWER25JUL375CE,10-JUL-2025,OPTSTK,CE,375,0.05,
BFO,1108495,1450,TATPOPT,TATAPOWER25JUL370CE,10-JUL-2025,OPTSTK,CE,370,0.05,
BFO,1110256,1450,TATPOPT,TATAPOWER25JUL365CE,10-JUL-2025,OPTSTK,CE,365,0.05,
BFO,1110078,1450,TATPOPT,TATAPOWER25JUL360CE,10-JUL-2025,OPTSTK,CE,360,0.05,
BFO,1113705,1450,TATPOPT,TATAPOWER25JUL355CE,10-JUL-2025,OPTSTK,CE,355,0.05,
BFO,1113354,1450,TATPOPT,TATAPOWER25JUL350CE,10-JUL-2025,OPTSTK,CE,350,0.05,
BFO,1118972,1450,TATPOPT,TATAPOWER25JUL345CE,10-JUL-2025,OPTSTK,CE,345,0.05,
BFO,1118796,1450,TATPOPT,TATAPOWER25JUL340CE,10-JUL-2025,OPTSTK,CE,340,0.05,
BFO,1108244,1450,TATPOPT,TATAPOWER25JUL335CE,10-JUL-2025,OPTSTK,CE,335,0.05,
BFO,1108069,1450,TATPOPT,TATAPOWER25JUL330CE,10-JUL-2025,OPTSTK,CE,330,0.05,
BFO,1109813,1450,TATPOPT,TATAPOWER25JUL325CE,10-JUL-2025,OPTSTK,CE,325,0.05,
BFO,1162631,1450,TATPFUT,TATAPOWER25AUGFUT,14-AUG-2025,FUTSTK,XX,0,0.05,
BFO,1114327,1450,TATPFUT,TATAPOWER25JULFUT,10-JUL-2025,FUTSTK,XX,0,0.05,
BFO,884941,1350,TATPFUT,TATAPOWER25JUNFUT,12-JUN-2025,FUTSTK,XX,0,0.05,
BFO,823349,1450,TATPOPT,TATAPOWER25AUG435PE,14-AUG-2025,OPTSTK,PE,435,0.05,
BFO,822722,1450,TATPOPT,TATAPOWER25AUG430PE,14-AUG-2025,OPTSTK,PE,430,0.05,
BFO,821423,1450,TATPOPT,TATAPOWER25AUG425PE,14-AUG-2025,OPTSTK,PE,425,0.05,
BFO,821367,1450,TATPOPT,TATAPOWER25AUG420PE,14-AUG-2025,OPTSTK,PE,420,0.05,
BFO,820130,1450,TATPOPT,TATAPOWER25AUG415PE,14-AUG-2025,OPTSTK,PE,415,0.05,
BFO,820078,1450,TATPOPT,TATAPOWER25AUG410PE,14-AUG-2025,OPTSTK,PE,410,0.05,
BFO,1147407,1450,TATPOPT,TATAPOWER25AUG405PE,14-AUG-2025,OPTSTK,PE,405,0.05,
BFO,1146939,1450,TATPOPT,TATAPOWER25AUG400PE,14-AUG-2025,OPTSTK,PE,400,0.05,
BFO,1159033,1450,TATPOPT,TATAPOWER25AUG395PE,14-AUG-2025,OPTSTK,PE,395,0.05,
BFO,1158144,1450,TATPOPT,TATAPOWER25AUG390PE,14-AUG-2025,OPTSTK,PE,390,0.05,
BFO,1144998,1450,TATPOPT,TATAPOWER25AUG385PE,14-AUG-2025,OPTSTK,PE,385,0.05,
BFO,1144633,1450,TATPOPT,TATAPOWER25AUG380PE,14-AUG-2025,OPTSTK,PE,380,0.05,
BFO,1148363,1450,TATPOPT,TATAPOWER25AUG375PE,14-AUG-2025,OPTSTK,PE,375,0.05,
BFO,1147989,1450,TATPOPT,TATAPOWER25AUG370PE,14-AUG-2025,OPTSTK,PE,370,0.05,
BFO,1151304,1450,TATPOPT,TATAPOWER25AUG365PE,14-AUG-2025,OPTSTK,PE,365,0.05,
BFO,1150923,1450,TATPOPT,TATAPOWER25AUG360PE,14-AUG-2025,OPTSTK,PE,360,0.05,
BFO,1155194,1450,TATPOPT,TATAPOWER25AUG355PE,14-AUG-2025,OPTSTK,PE,355,0.05,
BFO,1154349,1450,TATPOPT,TATAPOWER25AUG350PE,14-AUG-2025,OPTSTK,PE,350,0.05,
BFO,1144067,1450,TATPOPT,TATAPOWER25AUG345PE,14-AUG-2025,OPTSTK,PE,345,0.05,
BFO,1143637,1450,TATPOPT,TATAPOWER25AUG340PE,14-AUG-2025,OPTSTK,PE,340,0.05,
BFO,1147148,1450,TATPOPT,TATAPOWER25AUG335PE,14-AUG-2025,OPTSTK,PE,335,0.05,
BFO,822980,1450,TATPOPT,TATAPOWER25AUG435CE,14-AUG-2025,OPTSTK,CE,435,0.05,
BFO,822939,1450,TATPOPT,TATAPOWER25AUG430CE,14-AUG-2025,OPTSTK,CE,430,0.05,
BFO,820461,1450,TATPOPT,TATAPOWER25AUG425CE,14-AUG-2025,OPTSTK,CE,425,0.05,
BFO,820410,1450,TATPOPT,TATAPOWER25AUG420CE,14-AUG-2025,OPTSTK,CE,420,0.05,
BFO,820830,1450,TATPOPT,TATAPOWER25AUG415CE,14-AUG-2025,OPTSTK,CE,415,0.05,
BFO,820787,1450,TATPOPT,TATAPOWER25AUG410CE,14-AUG-2025,OPTSTK,CE,410,0.05,
BFO,1153385,1450,TATPOPT,TATAPOWER25AUG405CE,14-AUG-2025,OPTSTK,CE,405,0.05,
BFO,1152979,1450,TATPOPT,TATAPOWER25AUG400CE,14-AUG-2025,OPTSTK,CE,400,0.05,
BFO,1158241,1450,TATPOPT,TATAPOWER25AUG395CE,14-AUG-2025,OPTSTK,CE,395,0.05,
BFO,1156311,1450,TATPOPT,TATAPOWER25AUG390CE,14-AUG-2025,OPTSTK,CE,390,0.05,
BFO,1144656,1450,TATPOPT,TATAPOWER25AUG385CE,14-AUG-2025,OPTSTK,CE,385,0.05,
BFO,1144265,1450,TATPOPT,TATAPOWER25AUG380CE,14-AUG-2025,OPTSTK,CE,380,0.05,
BFO,1148022,1450,TATPOPT,TATAPOWER25AUG375CE,14-AUG-2025,OPTSTK,CE,375,0.05,
BFO,1147496,1450,TATPOPT,TATAPOWER25AUG370CE,14-AUG-2025,OPTSTK,CE,370,0.05,
BFO,1150949,1450,TATPOPT,TATAPOWER25AUG365CE,14-AUG-2025,OPTSTK,CE,365,0.05,
BFO,1150576,1450,TATPOPT,TATAPOWER25AUG360CE,14-AUG-2025,OPTSTK,CE,360,0.05,
BFO,1154375,1450,TATPOPT,TATAPOWER25AUG355CE,14-AUG-2025,OPTSTK,CE,355,0.05,
BFO,1154056,1450,TATPOPT,TATAPOWER25AUG350CE,14-AUG-2025,OPTSTK,CE,350,0.05,
BFO,1143675,1450,TATPOPT,TATAPOWER25AUG345CE,14-AUG-2025,OPTSTK,CE,345,0.05,
BFO,1172758,1450,TATPOPT,TATAPOWER25AUG340CE,14-AUG-2025,OPTSTK,CE,340,0.05,
BFO,1146818,1450,TATPOPT,TATAPOWER25AUG335CE,14-AUG-2025,OPTSTK,CE,335,0.05,
BFO,2291686,550,TAMOOPT,TATAMOTORS25JUN800PE,12-JUN-2025,OPTSTK,PE,800,0.05,
BFO,821049,550,TAMOOPT,TATAMOTORS25JUN790PE,12-JUN-2025,OPTSTK,PE,790,0.05,
BFO,1100180,550,TAMOOPT,TATAMOTORS25JUN780PE,12-JUN-2025,OPTSTK,PE,780,0.05,
